Timestamp,ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - DA LMP - Latest (Now),ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Price - Hub: HB_BUSAVG - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Planned) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Unplanned) - Latest (Now),ERCOT - Load - System Wide - ISO: Actual - Load - Latest (Now),ERCOT - Load - System Wide - ISO: Forecast - Load - Prior Day (Rolling),ERCOT - Load - System Wide - ENV: Actual - Net Load - Latest (Now),ERCOT - Load - System Wide - ENV: Actual - Temperature - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Actual - Generation - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Generation - Wind - System Wide - ISO: Actual - Generation (5 min) - Latest (Now),ERCOT - Generation - Wind - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Grid Conditions - System Wide - ISO: Actual - PRC - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Fuel Mix (Natural Gas) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Energy Storage Resources (Net Output) - Latest (Now)
2024-01-01T00:00:00-06:00,15.79,13.82,14.045,,,,41153.86,26542,46,0.04,0,14880.46,14823.3,,15744.62,
2024-01-01T01:00:00-06:00,16.81,15.973,15.97,,,,40625.77,27740,46,0.03,0,13925.08,13601.3,,16717.06,
2024-01-01T02:00:00-06:00,16.76,16.995,16.967,,,,40176.66,28592,46,0.02,0,13023.74,12427.9,,17463.5,
2024-01-01T03:00:00-06:00,17.39,17.952,17.952,,,,40115.52,29567,44,0.03,0,12019.63,11385.3,,18106.2,
2024-01-01T04:00:00-06:00,19,20.658,20.525,,,,40464.57,31403,43,0.04,0,10897.2,10115.1,,19107.75,
2024-01-01T05:00:00-06:00,21.4,22.47,22.327,,,,41908.16,34493,42,0.03,0,8828.61,8436.1,,20406.85,
2024-01-01T06:00:00-06:00,24.22,26.162,26.168,,,,44040.12,37869,41,0.04,0,6750.65,6861,,22101.89,
2024-01-01T07:00:00-06:00,28.39,31.088,31.088,,,,44852.62,40058,40,85.49,124.9,5241.96,5515.8,,22768.85,
2024-01-01T08:00:00-06:00,22.67,40.095,40.095,,,,45235.85,39814,42,3032.01,3293.2,3450.1,4122,,22820.31,
2024-01-01T09:00:00-06:00,19.54,22.327,22.327,,,,45535.07,36553,45,7922.49,8632.8,2070.62,2818.7,,21386.28,
2024-01-01T10:00:00-06:00,18.49,22.227,22.227,,,,45062.53,35670,48,9499.72,10348.4,1541.58,2233.9,,20522.76,
2024-01-01T11:00:00-06:00,17.9,21.107,21.152,,,,44313.06,34418,50,10138.26,10584.5,1774.74,2036.8,,20249.42,
2024-01-01T12:00:00-06:00,16.55,20.288,20.312,,,,43342.78,33210,52,10429.78,10669.4,2009.57,2120.4,,19943.66,
2024-01-01T13:00:00-06:00,14.46,18.382,18.382,,,,42081.87,31723,54,10832.01,10849.1,2046.73,2362.9,,19497.86,
2024-01-01T14:00:00-06:00,13.86,16.608,16.608,,,,41909.91,30720,54,11222.81,11080.4,2166.15,2782.3,,18993.46,
2024-01-01T15:00:00-06:00,13.18,16.06,16.06,,,,42192.18,30048,54,11239.82,10803.4,2683.12,3361.2,,18840.79,
2024-01-01T16:00:00-06:00,20.2,33,33,,,,42219.69,33679,53,7279.04,6795.6,3331.56,4125.2,,20835.23,
2024-01-01T17:00:00-06:00,36.47,55.573,57.425,,,,43346.53,40804,49,921.4,958.3,5009.98,5265.1,,23831.45,
2024-01-01T18:00:00-06:00,27.6,47.228,47.95,,,,45458.72,42325,47,0.08,0,6615.1,6551,,24808.11,
2024-01-01T19:00:00-06:00,23.92,37.027,36.922,,,,46074.82,41754,44,0.08,0,7490.01,8429.5,,24671.56,
2024-01-01T20:00:00-06:00,24.09,44.65,44.773,,,,46608.6,41514,43,0.15,0,7928.51,9592.3,,24864.39,
2024-01-01T21:00:00-06:00,22.19,40.857,40.857,,,,46317.18,40924,42,0.12,0,8075.45,10057,,24438.7,
2024-01-01T22:00:00-06:00,21.27,26.277,26.277,,,,45462.87,39640,41,0.12,0,8481.5,10248.9,,23561.5,
2024-01-01T23:00:00-06:00,20.23,22.69,22.69,,,,44227.32,37711,41,0.12,0,9059.06,10307,,22557.64,
2024-01-02T00:00:00-06:00,19.23,21.68,21.68,,,,44539.84,36912,40,0.13,0,9186.16,9116,,22479.42,
2024-01-02T01:00:00-06:00,18.49,21.5,21.5,,,,43853.73,36473,40,0.13,0,9041.92,8996.8,,22584.82,
2024-01-02T02:00:00-06:00,18.94,21.29,21.29,,,,43316.95,36168,40,0.12,0,9283.7,8548.4,,22755.58,
2024-01-02T03:00:00-06:00,19.63,19.707,19.707,,,,43380.05,35429,40,0.14,0,10118.61,8104.9,,23245.22,
2024-01-02T04:00:00-06:00,20.74,18.57,18.57,,,,44010.84,36062,40,0.13,0,10509.46,7722.1,,24225.22,
2024-01-02T05:00:00-06:00,25.01,20.985,21.12,,,,45466.86,38648,40,0.13,0,10321.3,7309.5,,25548.62,
2024-01-02T06:00:00-06:00,35.81,36.133,36.508,,,,47541.62,43611,40,0.13,0,8134.7,6544.8,,27825.28,
2024-01-02T07:00:00-06:00,41.45,47.1,48.912,,,,48786.82,47307,40,144.73,84.2,6125,5576.6,,29906.68,
2024-01-02T08:00:00-06:00,34.71,40.99,42.443,,,,49207.43,47013,42,2142.94,1679.8,4770.28,4559.6,,30202.38,
2024-01-02T09:00:00-06:00,25.76,50.582,50.825,,,,49402.1,46568,44,4239.37,3922.5,3454.61,3577.2,,29894.91,
2024-01-02T10:00:00-06:00,22.72,32.898,33.547,,,,49056.68,45309,47,5031.47,5253.5,3060.74,3117.2,,28638.18,
2024-01-02T11:00:00-06:00,19.32,23.555,23.288,,,,48455.8,43133,49,5946.97,6179,3344.63,3031.8,,26972.82,
2024-01-02T12:00:00-06:00,18.08,22.51,22.22,,,,47512.88,41695,50,6169.94,6142.2,3569.45,3119.9,,26518.99,
