Timestamp,ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - DA LMP - Latest (Now),ERCOT - Price - Load Zone: LZ_HOUSTON - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Price - Hub: HB_BUSAVG - ISO: Actual - RT SPP (15 min) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Planned) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Dispatchable Outages (Unplanned) - Latest (Now),ERCOT - Load - System Wide - ISO: Actual - Load - Latest (Now),ERCOT - Load - System Wide - ISO: Forecast - Load - Prior Day (Rolling),ERCOT - Load - System Wide - ENV: Actual - Net Load - Latest (Now),ERCOT - Load - System Wide - ENV: Actual - Temperature - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Actual - Generation - Latest (Now),ERCOT - Generation - Solar - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Generation - Wind - System Wide - ISO: Actual - Generation (5 min) - Latest (Now),ERCOT - Generation - Wind - System Wide - ISO: Forecast - Generation (STPF) - Prior Day (Rolling),ERCOT - Grid Conditions - System Wide - ISO: Actual - PRC - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Fuel Mix (Natural Gas) - Latest (Now),ERCOT - Grid Conditions - System Wide - ISO: Actual - Energy Storage Resources (Net Output) - Latest (Now)
2025-01-01T00:00:00-06:00,22.87,18.077,18.077,403,8720.33,,45724.66,29736,46,0.72,0,14371.42,11167.1,,18300.77,
2025-01-01T01:00:00-06:00,20.93,17.688,17.688,403,8791.17,,45276.27,28926,44,0.75,0,14888.92,11373.3,,17746.32,
2025-01-01T02:00:00-06:00,20.13,17.095,17.095,403,8622,,44898.11,28326,44,0.73,0,15305.04,11673.7,,17332.23,
2025-01-01T03:00:00-06:00,21.28,16.98,17.098,403,8655.33,,44721.63,28494,43,0.75,0,15025.9,11857.5,,17436.11,
2025-01-01T04:00:00-06:00,21.34,18.548,18.69,403,8662,,45256.68,28861,43,0.76,0,14530,11807.8,,18002.62,
2025-01-01T05:00:00-06:00,23.68,20.312,20.495,403,8662,,46745.13,30443,42,0.76,0,13815.92,11715.3,,19175.11,
2025-01-01T06:00:00-06:00,25.37,20.532,20.8,403,8660,,49262.98,31450,41,0.77,0,13888.6,11423.7,,19684.24,
2025-01-01T07:00:00-06:00,29.47,20.613,21.69,403,8656,,50510.22,33279,41,428.29,418.3,12590.92,10622.1,,20209.83,
2025-01-01T08:00:00-06:00,22.45,17.42,18.022,403,8384.33,,50612.96,29197,44,7637.49,7174.1,9978.81,9309.3,,17479.53,
2025-01-01T09:00:00-06:00,18.77,12.452,12.452,403,8060.83,,50347.11,22610,47,16645.43,16497.7,7870.67,7817.8,,12626.9,
2025-01-01T10:00:00-06:00,17.17,9.61,9.61,403,8230,,49531.25,20959,50,18605.05,18670.6,7720.24,7226.6,,11370.21,
2025-01-01T11:00:00-06:00,16.62,14.052,14.08,403,8429,,48475.84,21289,52,18483.28,18368.1,6784.38,7195.7,,11661.01,
2025-01-01T12:00:00-06:00,16.62,14.807,14.99,403,8344,,47190.16,21588,54,17900.61,17650.2,5901.75,6982.8,,11820.84,
2025-01-01T13:00:00-06:00,15.44,14.873,14.815,403,8395,,46409.62,21486,56,18145.88,17839.7,5318.83,6749.4,,11585.3,
2025-01-01T14:00:00-06:00,14.34,13.117,12.91,403,8835.17,,46266.89,21386,57,18328.77,18300,4999.86,6652.2,,11274.21,
2025-01-01T15:00:00-06:00,14.99,1.807,1.787,403,8938,,46458.63,21574,57,17581.49,17240.2,5071,6674.4,,11710.36,
2025-01-01T16:00:00-06:00,21.28,21.62,21.608,403,9063,,46834.36,28860,56,10459.31,9861.8,5279.8,6964.9,,18090.45,
2025-01-01T17:00:00-06:00,36.66,46.082,50.935,403,9050.17,,48908.58,40495,52,1240.92,1154.1,4727.78,7541.7,,23496.68,
2025-01-01T18:00:00-06:00,33.08,72.22,77.097,403,9385.75,,50588.44,42970,50,0.73,0,4773.12,8796.6,,24553.45,
2025-01-01T19:00:00-06:00,29.66,84.368,85.618,403,8881.67,,50068.46,42077,48,0.73,0,5711.27,10628.1,,25297.01,
2025-01-01T20:00:00-06:00,26.17,52.855,52.855,403,8863.5,,49747,41105,46,0.73,0,7627.82,12361.8,,25236.64,
2025-01-01T21:00:00-06:00,19.72,28.51,28.427,403,8821,,49228.98,39425,45,0.71,0,9278.25,14448.6,,23698.19,
2025-01-01T22:00:00-06:00,19.59,25.735,25.498,403,8740.33,,48046.84,35167,44,0.72,0,11973.05,17155.6,,19861.63,
2025-01-01T23:00:00-06:00,18.01,20.89,20.793,403,8587.75,,46398.92,30676,44,0.69,0,15698.48,19273.2,,16962.47,
